Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
600000,1.22,4,2,5,1,1,1,3,1,10,0,3,1,11.11111111,0,0,168,-2,54.08,0.12,1814.4,16.8,1 Indoor,5,28,1,6.8,1.6019E-07,23.12,93.19,60
130000,1.22,4,2,10,1,1,1,3,1,10,0,3,1,11.11111111,0,0,165,-5,51.59,0.12,1814.4,16.8,1 Indoor,5,28,1,6.8,4.1794E-07,25.56,93.19,60
110000,1.22,4,2,20,1,1,1,3,1,10,0,3,1,11.11111111,0,0,158,-13,48.17,0.12,1814.4,16.8,1 Indoor,5,28,1,6.8,4.6516E-07,24.31,93.19,60
100000,1.22,4,2,30,1,1,1,3,1,10,0,3,1,11.11111111,0,0,152,-19.3,45.25,0.12,1814.4,16.8,1 Indoor,5,28,1,6.8,4.9664E-07,23.73,100,60
38000,1.68,10,0,0,4,4,2,2,0,8,0,4,2,14.28571429,1,60,250.5,75.5,24,0.25,0.196349541,24,3 UV,6,29,1,7,2.39404E-08,0,93.19,40
38000,1.68,10,0,0,4,4,2,2,0,8,0,4,2,14.28571429,1,60,250.5,75.5,24,0.25,0.196349541,24,3 UV,6,29,1,7,9.46813E-09,0,93.19,40
166000,1.59,8,0,0,6,6,1,1,0,8,0,0,0,0,1,75,270,104,0,0.25,0.196349541,24,3 UV,6,29,1,7,2.12547E-08,0,93.19,40
166000,1.59,8,0,0,6,6,1,1,0,8,0,0,0,0,1,75,270,104,0,0.25,0.196349541,24,3 UV,6,29,1,7,1.85936E-08,0,93.19,40
40000,0.94,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,120,-120,45.8,0.25,0.196349541,24,3 UV,6,29,1,7,5.01109E-09,0,93.19,40
40000,0.94,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,120,-120,45.8,0.25,0.196349541,24,3 UV,6,29,1,7,1.99211E-08,0,93.19,40
250000,0.9,3,0,0,1,1,1,1,1,6,0,0,0,0,0,0,164,-10,56,2.4,18.09557368,2.5,3 UV,7,29,1,7,1.1574E-08,0,100,40
250000,0.9,3,0,0,1,1,1,1,1,6,0,0,0,0,0,0,164,-10,56,2.4,18.09557368,2.5,3 UV,7,29,1,7,2.3148E-08,0,100,40
250000,0.9,3,0,0,1,1,1,1,1,6,0,0,0,0,0,0,164,-10,56,0.25,0.196349541,24,3 UV,6,29,1,7,1.13995E-08,0,93.19,40
15792,1.02,15,0,0,0,0,13,13,0,26,0,4,2,10.52631579,0,0,56,-31,45,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,4.0639E-08,5.965,85.43,30
65107,1.05,14,0,0,0,0,12,12,0,24,0,4,2,11.11111111,0,0,65,-28,29,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,5.2488E-07,6.259,85.43,30
17689,1.07,12,0,0,0,0,10,10,0,20,0,4,2,12.5,0,0,59,-23,59,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,1.6528E-06,8.063,68.15,30
69719,1.1,11,0,0,0,0,9,9,0,18,0,4,2,13.33333333,0,0,43,-56,36,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,1.5995E-06,4.796,78.25,30
58919,1,16,0,0,0,0,14,14,0,28,0,4,2,10,0,0,71,-16,61,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,1.8808E-08,2.215,85.43,30
70971,1.05,13,0,0,0,0,11,11,0,22,0,4,2,11.76470588,0,0,43,-44,37,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,7.0266E-07,6.672,85.43,30
13736,1.12,10,0,0,0,0,8,8,0,16,0,4,2,14.28571429,0,0,52,-41,27,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,0.000002331,4.821,64.02,30
76440,1.17,9,0,0,0,0,7,7,0,14,0,4,2,15.38461538,0,0,32,-49,24,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,1.5104E-06,6.072,64.53,30
79492,1.25,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,105,-32,41,0.12,204.8,17.06666667,1 Indoor,5,25,1,6.8,1.0588E-06,21.6,68,30
230000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,187.5,72.5,45.79,0.32,303.36,6.58,1 Indoor,1,25,1,7,6.09772E-11,0,98.3,380
230000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,187.5,72.5,45.79,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,6.09772E-11,0,98.3,380
100000,1.26,10,12,50,0,4,8,12,0,28,0,8,4,13.33333333,1,27.27,115,-28,10,0.32,303.36,6.58,1 Indoor,1,25,1,7,4.9583E-10,0,93.19,380
100000,1.26,10,12,50,0,4,8,12,0,28,0,8,4,13.33333333,1,27.27,115,-28,10,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,3.4676E-10,0,93.19,380
250000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,176.5,7.5,65.5,0.32,303.36,6.58,1 Indoor,1,25,1,7,2.7465E-09,0,97.52,380
250000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,176.5,7.5,65.5,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,2.4896E-09,0,97.52,380
38000,1.34,3,2,50,1,1,0,1,1,6,0,4,2,22.22222222,0,0,145,46,1,0.32,303.36,6.58,1 Indoor,1,25,1,7,1.5995E-07,126.9,100,270
