Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
103500,1.34,3,2,32,1,1,0,1,1,6,0,4,2,22.22222222,0,0,155,49,1,0.12,410.5,16.93333333,1 Indoor,5,26,0.4375,7.4,1.6331E-08,4.9126,93.19,175
103500,1.34,3,2,32,1,1,0,1,1,6,0,4,2,22.22222222,0,0,155,49,1,0.12,410.5,16.93333333,1 Indoor,0,26,1,7.4,4.6362E-09,0,93.19,175
38000,1.34,2,3,46,0,1,1,1,1,6,0,4,2,22.22222222,0,0,145,45.6,1,0.12,410.5,16.93333333,1 Indoor,5,26,0.4375,7.4,3.8938E-07,13.048,93.19,84
38000,1.34,2,3,46,0,1,1,1,1,6,0,4,2,22.22222222,0,0,145,45.6,1,0.12,410.5,16.93333333,1 Indoor,0,26,1,7.4,3.1696E-07,55.706,100,140
275500,1.1438,6,4,30,0,1,5,6,1,16,0,4,2,14.28571429,0,0,63.5,-60,50,2,3960,1.1,1 Indoor,0,30,1,7,3.2465E-09,0,93.19,40
275500,1.1438,6,4,30,0,1,5,6,1,16,0,4,2,14.28571429,0,0,63.5,-60,50,2,3960,1.1,1 Indoor,3,30,1,7,5.3958E-08,3.996,93.19,40
55000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,61.4,-60,26,2,3960,1.1,1 Indoor,0,30,1,7,2.1192E-09,0,93.19,40
55000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,61.4,-60,26,2,3960,1.1,1 Indoor,3,30,1,7,3.772E-08,0,93.19,40
790000,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,173.1,4,61.78,2,3960,1.1,1 Indoor,0,30,1,7,4.8067E-09,0.1606,97.52,40
790000,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,173.1,4,61.78,2,3960,1.1,1 Indoor,3,30,1,7,9.1968E-08,10.6,97.52,40
790000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,173.1,4,53.55,2,3960,1.1,1 Indoor,0,30,1,7,3.8738E-09,0,93.19,40
790000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,173.1,4,53.55,2,3960,1.1,1 Indoor,3,30,1,7,1.1597E-07,13.13,93.19,40
1188000,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,6,61.78,0.01,400.6,200.3,1 Indoor,5,31,1,7,2.2697E-08,0,97.52,60
1188000,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,6,61.78,0.01,400.6,200.3,1 Indoor,5,31,1,7,0.000010523,0,17.73,60
1188000,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,6,61.78,0.01,400.6,200.3,1 Indoor,5,31,1,7,5.956E-09,5.385,97.52,60
48400,1.29,2,0,0,1,1,1,1,0,3,0,1,0,0,0,0,220,65,55,0.03,5006,66.74666667,1 Indoor,N.A.,58,0.478,8,1.6204E-07,0,18.5,180
124250,1.29,2,6,40,1,6,1,2,0,10,0,6,0,0,1,62.5,187,54,25.85,0.03,5006,66.74666667,1 Indoor,N.A.,58,0.478,8,2.2512E-07,0,38.47,180
80000,1.29,2,6,20,1,6,1,2,0,10,0,6,0,0,1,62.5,170,50,25,0.03,5006,66.74666667,1 Indoor,N.A.,58,0.478,8,1.151E-07,2.792,32.12,180
40000,1.34,10,0,0,4,4,2,2,0,8,0,4,2,14.28571429,1,60,257,78,19.1,0.5,410.5,4.285714286,3 UV,2,25,1,7.9,9.56E-09,N.A.,100,839.5
250000,0.9,3,0,0,1,1,1,1,1,6,0,0,0,0,0,0,164,-10,56,0.8,410.5,2.785714286,2 Outdoor,2,25,1,7.9,4.15E-10,0,100,19345
250000,0.9,3,0,0,1,1,1,1,1,6,0,0,0,0,0,0,164,-10,56,0.8,410.5,2.785714286,3 UV,2,25,1,7.9,2.53E-10,0,100,31755
160000,0.95,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,135,-100,69,0.5,410.5,4.285714286,2 Outdoor,2,25,1,7.9,3.79E-10,0,100,21170
160000,0.95,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,135,-100,69,0.5,410.5,4.285714286,3 UV,2,25,1,7.9,8.45E-10,0,100,9490
160000,0.95,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,135,-100,69,10,600,0.6,2 Outdoor,2,25,1,7.9,1.83E-11,0,100,438000
160000,0.95,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,135,-100,69,10,600,0.6,3 UV,2,25,1,7.9,4.14E-11,0,100,193450
40000,0.92,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,120,-120,45.8,0.1,410.5,20.28571429,2 Outdoor,2,25,1,7.9,6.46E-09,0,100,1241
40000,0.92,2,0,0,0,0,2,2,0,4,0,0,0,0,0,0,120,-120,45.8,0.1,410.5,20.28571429,3 UV,2,25,1,7.9,4.4E-09,0,100,1825
149947.4,1.04,8,0,0,6,6,1,1,0,8,0,0,0,0,1,75,270,100,0,2,3520,1.1,1 Indoor,6,28,1,7.01,4.86962E-09,0,93.19,56
149947.4,1.04,8,0,0,6,6,1,1,0,8,0,0,0,0,1,75,270,100,0,2,3520,1.1,1 Indoor,6,28,1,7.01,4.05377E-09,0,93.19,56
21875,1.2,6,6,50,0,0,5,10,0,20,1,3,2,12.5,0,0,115.7,30,0,0.03,2454.2,66.78095238,1 Indoor,6,20,1,7.4,5.2245E-07,1.803,93.19,19
27962,1.2,12,12,50,0,0,10,20,0,40,2,6,4,12.5,0,0,115.7,30,0,0.03,2454.2,66.78095238,1 Indoor,6,20,1,7.4,5.5799E-07,2.449,93.19,19
137000,1.23,3,5,20,1,2,0,1,2,10,0,6,3,21.42857143,0,0,146,42.5,50,0.1,5020,20.08,1 Indoor,2,25,1,7.9,9.1875E-07,0,79.48,34
137000,1.23,3,5,20,1,2,0,1,2,10,0,6,3,21.42857143,0,0,146,42.5,50,2,316,1.58,2 Outdoor,2,25,1,7.9,1.5872E-07,170.1,100,270
100000,1.34,2,3,40,0,1,1,1,1,6,0,4,2,22.22222222,0,0,120,40,1,0.1,5020,20.08,1 Indoor,2,25,1,7.9,1.9282E-06,0.1847,92.94,34
100000,1.34,2,3,40,0,1,1,1,1,6,0,4,2,22.22222222,0,0,120,40,1,2,316,1.58,2 Outdoor,2,25,1,7.9,2.66503E-06,0,100,30
960000,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,176,64,30.8,0.1,5020,20.08,1 Indoor,2,25,1,7.9,5.0567E-09,3.242,98.3,30
960000,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,176,64,30.8,2,316,1.58,2 Outdoor,2,25,1,7.9,1.8916E-09,76.44,98.3,270
120000,1.23,6,3,25,2,3,0,2,2,13,0,5,2,14.28571429,0,0,146,42.5,50,0.5,220,4.4,1 Indoor,7,37,1,7,0.000008206,1.114,93.19,3
120000,1.23,6,3,25,2,3,0,2,2,13,0,5,2,14.28571429,0,0,146,42.5,50,0.5,220,4.4,1 Indoor,7,37,1,7,2.4525E-06,0.7968,93.19,3
147000,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,152,65,1.7,0.5,220,4.4,1 Indoor,7,37,1,7,4.397E-07,0,98.3,3
35000,1.32,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,165,60,30.8,0.675,227,3.36,3 UV,0,37,1,7,7.6427E-08,42.69,100,390
35000,1.32,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,165,60,30.8,0.675,227,3.36,3 UV,0,37,1,7,9.429E-08,9.339,100,390
104500,1.29,2,6,37.5,1,6,1,2,0,10,0,6,0,0,1,62.5,178,45,24.19,0.12,2016.8,16.80666667,1 Indoor,4,21,1,6.5,2.2674E-07,0,93.19,28
104500,1.29,2,6,37.5,1,6,1,2,0,10,0,6,0,0,1,62.5,178,45,24.19,0.12,2016.8,16.80666667,1 Indoor,4,33,1,8,2.9618E-07,0,93.19,28
104500,1.26,6,2,75,5,6,1,2,0,10,0,6,0,0,1,62.5,240,198,80,0.12,2016.8,16.80666667,1 Indoor,4,21,1,6.5,6.2431E-08,0,93.19,28
104500,1.26,6,2,75,5,6,1,2,0,10,0,6,0,0,1,62.5,240,198,80,0.12,2016.8,16.80666667,1 Indoor,4,33,1,8,2.5289E-06,0,17.78,28
485000,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,171,5,70,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,2.1238E-06,0,82,28
650000,1.25,4,5,6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,165,3.5,65,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,0.000028218,0,85,28
650000,1.25,4,5,6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,165,3.5,65,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,1.8935E-06,3.107,100,28
485000,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,171,5,70,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,5.2778E-07,0,93.19,28
433500,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,169,4,68,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,2.2812E-06,0,83.5,28
433500,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,169,4,68,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,1.3275E-06,0,93.19,28
288000,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,161,-0.9,53,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,2.5405E-06,0,84,28
288000,1.25,9,0,0,2,2,3,3,2,14,0,4,2,15.38461538,0,0,161,-0.9,53,0.12,410.5,16.93333333,1 Indoor,5,25,0.4375,7.4,0.000001456,0,100,28
160000,1.144,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,63,-60,55,0.25,0.196,24,1 Indoor,5,25,0.4375,7.4,1.2419E-06,4.933,80,28
160000,1.144,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,63,-60,55,0.25,0.196,24,3 UV,5,25,0.4375,7.4,1.0228E-06,1.623,89.77,28
322000,1.142,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,64,-60,52,0.25,0.196,24,1 Indoor,5,25,0.4375,7.4,1.2917E-06,4.771,85,28
322000,1.142,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,64,-60,52,0.25,0.196,24,3 UV,5,25,0.4375,7.4,1.5266E-06,0.5432,90.33,28
220000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,156.2,59.5,27.06,0.152,4833.44,13.25,1 Indoor,0,23,1,7,2.9919E-09,62.74,98.3,365
220000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,156.2,59.5,27.06,0.152,4833.44,13.25,1 Indoor,0,23,1,1.2,5.6968E-09,6.178,98.3,90
220000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,156.2,59.5,27.06,0.152,4833.44,13.25,1 Indoor,0,23,1,12.7,1.9086E-07,13.56,98.3,90
23000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,61,0.06,419.5,33.6,1 Indoor,6,35,1,7,2.1215E-06,6.14,25.5,28.33333333
23000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,61,0.06,419.5,33.6,1 Indoor,6,35,1,7,1.4363E-06,7.114,30,28.33333333
39000,1.25,6,20,50,0,8,5,9,0,26,2,12,5,12.5,2,46.15,45,-35,15,0.25,347.75,8.43,1 Indoor,0,37,1,7.4,2.6007E-08,0,93.19,28
39000,1.25,6,20,50,0,8,5,9,0,26,2,12,5,12.5,2,46.15,45,-35,15,0.25,347.75,8.43,1 Indoor,0,37,1,13,1.7697E-07,0,93.19,28
39000,1.25,6,20,50,0,8,5,9,0,26,2,12,5,12.5,2,46.15,45,-35,15,0.25,347.75,8.43,1 Indoor,0,37,1,7.4,1.2911E-07,0,93.19,28
39000,1.25,6,20,50,0,8,5,9,0,26,2,12,5,12.5,2,46.15,45,-35,15,0.25,347.75,8.43,1 Indoor,0,37,1,13,3.5806E-07,0,93.19,28
398800,1.25,4,5,88,1,2,1,3,2,14,0,4,2,15.38461538,0,0,177,4,50,4,5120,0.711111111,2 Outdoor,1,14.2,1,8.05,3.3449E-09,38.43,99.14,360
398800,1.25,4,5,8,1,2,1,3,2,14,0,4,2,15.38461538,0,0,177,4,50,4,5120,0.711111111,2 Outdoor,1,4,1,8.05,1.4039E-11,1.986,99.14,360
398800,1.25,4,5,8,1,2,1,3,2,14,0,4,2,15.38461538,0,0,177,4,50,4,5120,0.711111111,2 Outdoor,1,25,1,8.05,4.7627E-10,155.2,99.14,360
398800,1.25,4,5,8,1,2,1,3,2,14,0,4,2,15.38461538,0,0,177,4,50,4,5120,0.711111111,2 Outdoor,1,40,1,8.05,6.7685E-10,54.93,99.14,360
455000,1.25,4,5,8,1,2,1,3,2,14,0,4,2,15.38461538,0,0,172,4,47,0.2,48128,10.02666667,2 Outdoor,2,15.35,1,7.9,2.8079E-08,37.52,99.14,180
455000,1.25,4,5,8,1,2,1,3,2,14,0,4,2,15.38461538,0,0,172,4,47,0.5,0.785398163,12,1 Indoor,2,25,1,7.9,1.4016E-07,18.3,100,215
33800,1.25,15,11,18.18,1,2,9,15,2,38,4,11,7,17.07317073,0,0,41.5,-34.9,60.4,1,510,2.266666667,1 Indoor,0,52.5,1,7.4,5.6354E-07,1.487,93.19,4
33800,1.25,15,11,18.18,1,2,9,15,2,38,4,11,7,17.07317073,0,0,41.5,-34.9,60.4,1,510,2.266666667,1 Indoor,7,52.5,1,7.4,4.9583E-07,0.0699,93.19,4
2000,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,38,-60,25,1,510,2.266666667,1 Indoor,0,52.5,1,7.4,0.0000825,0.0711,86.5,4
2000,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,38,-60,25,1,510,2.266666667,1 Indoor,7,52.5,1,7.4,7.5972E-06,0.0863,86.5,4
735000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,178,4,60,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.5579E-06,6.99,91.2,28
87000,1.36,6,0,0,0,0,4,4,0,8,0,4,2,20,0,0,106,-7,61,0.1,204,20.4,1 Indoor,2,25,1,7.7,3.4398E-06,4.858,91.52,21
39900,1.09,12,0,0,0,0,10,10,0,20,0,4,2,12.5,0,0,78,-29.15,67,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.5185E-08,7.471,85.43,28
31500,1.05,14,0,0,0,0,12,12,0,24,0,4,2,11.11111111,0,0,67,-66,68,0.1,204,20.4,1 Indoor,2,25,1,7.7,4.3889E-08,0,85.43,28
81000,1.12,10,0,0,0,0,8,8,0,16,0,4,2,14.28571429,0,0,60,-41,70,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.8634E-07,5.596,85.43,28
144000,1.22,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,49,-46,74,0.1,204,20.4,1 Indoor,2,25,1,7.7,8.3958E-07,9.366,86.95,28
483600,1.25,4,5,4,1,2,1,3,2,14,0,4,2,15.38461538,0,0,172,3,57,0.075,10022.5,26.73,2 Outdoor,1,22,1,7.9,9.60942E-08,0,99.14,21
483600,1.25,4,5,4,1,2,1,3,2,14,0,4,2,15.38461538,0,0,172,3,57,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.4919E-06,4.592,85.61,28
288000,1.25,4,5,9,1,2,1,3,2,14,0,4,2,15.38461538,0,0,161,-0.9,53.56,2.075,10622.5,1.02,2 Outdoor,1,21,1,7.9,6.5472E-09,0,99.14,119
272500,1.25,4,5,12,1,2,1,3,2,14,0,4,2,15.38461538,0,0,158,0,50,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.6215E-06,2.598,80.14,28
242000,1.25,4,5,13,1,2,1,3,2,14,0,4,2,15.38461538,0,0,156.5,-5,53,2.075,10622.5,1.02,2 Outdoor,1,21,1,7.9,7.04785E-09,0,99.14,21
457700,1.25,4,5,14,1,2,1,3,2,14,0,4,2,15.38461538,0,0,155,1,54,0.1,204,20.4,1 Indoor,2,25,1,7.7,0.000003978,2.196,82.98,28
214200,1.25,4,5,15,1,2,1,3,2,14,0,4,2,15.38461538,0,0,150.18,-3.8,50.34,2.075,10622.5,1.02,2 Outdoor,1,21,1,7.9,4.80473E-09,0,99.14,119
714000,1.25,4,5,21,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-2,59,0.1,204,20.4,1 Indoor,2,25,1,7.7,2.4861E-06,2.275,78.41,28
854000,1.25,4,5,61,1,2,1,3,2,14,0,4,2,15.38461538,0,0,101.93,-12,51.92,0.075,10022.5,26.73,2 Outdoor,1,22,1,7.9,0.000000127,0,99.14,21
976600,1.25,4,5,80,1,2,1,3,2,14,0,4,2,15.38461538,0,0,95,-12,52,0.1,204,20.4,1 Indoor,2,25,1,7.7,7.5694E-08,0,84.29,28
666600,1.232,4,4,44,0,1,3,4,1,12,0,4,2,16.66666667,0,0,46,-23,10,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.2639E-06,3.674,72.5,28
1161600,1.232,4,4,20,1,1,1,4,1,12,0,4,2,16.66666667,0,0,156,-8,38,0.1,204,20.4,1 Indoor,2,25,1,7.7,2.4178E-06,5.853,85.91,28
1037400,1.232,4,4,6,1,1,1,4,1,12,0,4,2,16.66666667,0,0,162,-1,56,0.125,10037.5,16.06,2 Outdoor,1,14,1,7.9,7.0868E-08,5.504,93.19,56
1037400,1.232,4,4,6,1,1,1,4,1,12,0,4,2,16.66666667,0,0,162,-1,56,0.125,10037.5,16.06,2 Outdoor,1,24,1,7.9,1.32058E-07,0,93.19,56
591100,1.232,4,4,5,1,1,1,4,1,12,0,4,2,16.66666667,0,0,169,-1,50,0.1,204,20.4,1 Indoor,2,25,1,7.7,0.000001581,4.188,86.82,28
113900,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,62,-70,55,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.79015E-06,0,75,28
779700,1.22,4,0,0,0,0,3,3,0,6,0,2,1,16.66666667,0,0,53,-48,34,0.1,204,20.4,1 Indoor,2,25,1,7.7,2.4201E-06,4.393,82.61,28
79200,1.25,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,117,-32,63,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.234E-08,0,68,28
1459200,1.25,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,6,71,0.075,10022.5,26.73,2 Outdoor,1,22,1,7.9,9.87704E-08,0,97.52,21
512200,1.232,4,4,10,1,1,1,4,1,12,0,4,2,16.66666667,0,0,159,-4.5,50,0.075,10022.5,26.73,2 Outdoor,1,22,1,7.9,1.0382E-07,0,93.19,21
200200,1.233,3,0,0,0,0,2,2,0,4,0,2,1,20,0,0,77,-19,37,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.4155E-06,0,4.499,28
95700,1.18,10,0,0,0,0,8,8,0,16,0,4,2,14.28571429,0,0,59,-53.15,67,0.1,204,20.4,1 Indoor,2,25,1,7.7,9.79223E-09,0,85.43,28
756000,1.233,4,3,15,1,1,1,3,1,10,0,4,2,18.18181818,0,0,160,-1,40,0.1,204,20.4,1 Indoor,2,25,1,7.7,1.76202E-06,0,71,28
638000,1.233,4,3,36,1,1,1,3,1,10,0,4,2,18.18181818,0,0,158,-5,19,0.1,204,20.4,1 Indoor,2,25,1,7.7,4.1308E-06,1.922,89.14,28
512200,1.232,4,4,10,1,1,1,4,1,12,0,4,2,16.66666667,0,0,159,-4.5,50,0.125,10037.5,16.06,2 Outdoor,1,14,1,7.9,7.338E-08,0,93.19,56
512200,1.232,4,4,10,1,1,1,4,1,12,0,4,2,16.66666667,0,0,159,-4.5,50,0.125,10037.5,16.06,2 Outdoor,1,24,1,7.9,1.45961E-07,0,93.19,56
714000,1.231,4,5,32,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-2,59,0.075,10022.5,26.73,2 Outdoor,1,22,1,7.9,1.81054E-07,0,99.14,21
75100,1.25,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,174,51.1,1,0.385,1144,1.181818182,1 Indoor,0,37,1,7.4,0.000001089,0,63.95,56
62500,1.25,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,168,44.8,1,2,1144,1.181818182,1 Indoor,0,37,1,7.4,4.662E-08,0,75.09,49
137400,1.23,3,2,5,1,1,0,2,1,8,0,3,1,12.5,0,0,143,38.5,50,0.385,0.465662571,15.58441558,1 Indoor,0,37,1,7.4,1.3542E-06,0.6429,59.5,56
130600,1.23,3,2,5,1,1,0,2,1,8,0,3,1,12.5,0,0,142,36.7,50,2,1144,1.181818182,1 Indoor,0,37,1,7.4,1.7083E-08,0,93.19,63
327000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,173,4,59,0.385,0.465662571,15.58441558,1 Indoor,4,25,1,7.1,1.7303E-06,3.3,70.61,29.16666667
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,56.5,-60,39.6,0.12,635.8583531,16.86666667,1 Indoor,0,37,1,7.4,0.000011476,0,7.558,21
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,56.5,-60,39.6,0.12,635.8583531,16.86666667,1 Indoor,7,37,1,7.4,0.000027211,0,8.136,21
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,56.5,-60,39.6,0.12,635.8583531,16.86666667,1 Indoor,7,37,1,7.4,0.000014352,0,18.35,21
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,56.5,-60,39.6,0.12,635.8583531,16.86666667,1 Indoor,7,37,1,7.4,0.00012187,0.9013,33.28,21
65571,1.34,5,6,40,1,1,1,6,1,16,0,6,3,17.64705882,0,0,151,44,1,1,70,2.8,1 Indoor,0,37,1,7.4,2.0999E-08,0,93.19,70
65571,1.34,5,6,40,1,1,1,6,1,16,0,6,3,17.64705882,0,0,151,44,1,1,70,2.8,1 Indoor,0,37,1,7.4,2.6472E-08,0,93.19,70
55621,1.34,5,6,10,1,1,1,6,1,16,0,6,3,17.64705882,0,0,148,39,1,1,70,2.8,1 Indoor,0,37,1,7.4,2.7166E-08,1.3461,93.19,70
55621,1.34,5,6,10,1,1,1,6,1,16,0,6,3,17.64705882,0,0,148,39,1,1,70,2.8,1 Indoor,0,37,1,7.4,3.4788E-08,7.217,93.19,70
4261,1.2,24,4,50,12,12,8,10,0,32,2,6,4,11.11111111,2,42.68,110,28,0,0.5,0.785398163,12,1 Indoor,6,45,1,6.8,2.4201E-07,9.58,93.19,60
4261,1.2,24,4,50,12,12,8,10,0,32,2,6,4,11.11111111,2,42.68,110,28,0,0.5,0.785398163,12,1 Indoor,6,37,1,6.8,1.3507E-07,0,85.43,28.75
112685,1.11,2,6,50,0,5,2,3,0,11,0,6,0,0,1,62.5,70,-27,33.2,0.12,230.7185645,17,1 Indoor,7,37,1,7.4,4.103E-07,0.1665,93.19,3
112685,1.11,2,6,50,0,5,2,3,0,11,0,6,0,0,1,62.5,70,-27,33.2,0.12,230.7185645,17,1 Indoor,7,37,1,7.4,2.2245E-06,1.84,93.19,3
39000,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,140,20,0,0.12,419.5,16.93333333,1 Indoor,7,25,1,7.4,1.35259E-08,0,93.19,28
39000,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,140,20,0,0.12,419.5,16.93333333,1 Indoor,0,40,1,7.4,8.96791E-09,0,93.19,28
124100,1.52,2,0,0,0,0,1,1,0,2,0,2,1,25,0,0,224.01,39,50.94,0.23,409,8.98136646,1 Indoor,0,37,1,7.4,0.000001106,2.701,95,21
124100,1.52,2,0,0,0,0,1,1,0,2,0,2,1,25,0,0,224.01,39,50.94,0.23,409,8.98136646,1 Indoor,0,37,1,7.4,1.4155E-08,0,93.19,25
112200,1.52,2,0,0,0,0,1,1,0,2,0,2,1,25,0,0,222.65,38,53.6,0.23,409,8.98136646,3 UV,0,37,1,7.4,1.5312E-06,0,90.21,21
112200,1.52,2,0,0,0,0,1,1,0,2,0,2,1,25,0,0,222.65,38,53.6,0.23,409,8.98136646,3 UV,0,37,1,7.4,2.0938E-08,0,93.19,18
124000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,173,66,1,0.8,232,2.9,1 Indoor,0,37,1,12.8,1.8623E-07,0,100,49
117000,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,173,66,2.5,0.8,232,2.9,1 Indoor,0,37,1,12.8,1.7662E-07,0,100,49
59885,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,62.8,-60,24.3,4,160,1.25,3 UV,7,37,1,7.4,6.1875E-07,3.325,86.5,25
58938,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,62.8,-60,23.4,4,160,1.25,3 UV,7,37,1,7.4,7.1481E-07,3.652,86.5,25
58788,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,62.8,-60,24,4,160,1.25,3 UV,7,37,1,7.4,6.8171E-07,3.478,86.5,25
539000,1.22,4,6,20,1,6,1,2,1,13,0,7,1,5.882352941,1,50,174,5,54.77,0.5,220,4.4,2 Outdoor,5,18,0.4375,7.5,5.0174E-07,5.149,93.19,21
539000,1.22,4,6,20,1,6,1,2,1,13,0,7,1,5.882352941,1,50,174,5,54.77,0.5,220,4.4,1 Indoor,7,37,1,7,6.2975E-06,0.5023,93.19,3.333333333
539000,1.22,4,6,20,1,6,1,2,1,13,0,7,1,5.882352941,1,50,174,5,54.77,0.5,212,4.4,1 Indoor,7,37,1,8,2.1875E-06,0.2789,93.19,4.166666667
539000,1.22,4,6,50,1,6,1,2,1,13,0,7,1,5.882352941,1,50,173,3,44.47,0.5,220,4.4,2 Outdoor,5,18,0.4375,7.5,1.5394E-07,1.462,93.19,21
160000,1.3,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,212,85,10,0.3,728.1,6.89,1 Indoor,0,20,1,7.35,1.49331E-09,0,93.19,360
160000,1.3,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,212,85,10,0.3,728.1,6.89,1 Indoor,1,20,1,7.35,3.15728E-09,0,93.19,360
160000,1.3,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,212,85,10,0.3,728.1,6.89,1 Indoor,1,20,1,7.35,3.27313E-09,0,93.19,360
160000,1.3,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,212,85,10,0.3,728.1,6.89,1 Indoor,0,20,1,7.2,1.16234E-09,0,93.19,360
160000,1.3,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,212,85,10,0.3,728.1,6.89,1 Indoor,2,20,1,7.2,4.43604E-09,0,93.19,360
